team,wins,losses,total_points,total_games,avg_points,avg_opponent_score,avg_FGA_2,avg_FGM_2,avg_FGA_3,avg_FGM_3,avg_FTA,avg_FTM,avg_AST,avg_BLK,avg_STL,avg_TOV,avg_DREB,avg_OREB,avg_F_tech,avg_F_personal,region,ranking_score
south_carolina_gamecocks,29,2,2210,31,71.29032258064517,51.67741935483871,46.45161290322581,21.967741935483872,15.096774193548388,4.774193548387097,19.419354838709676,13.03225806451613,14.193548387096774,7.774193548387097,6.290322580645161,14.64516129032258,30.967741935483872,16.677419354838708,0.0,13.67741935483871,North,38.80645161290323
florida_gulf_coast_eagles,27,2,2258,29,77.86206896551724,56.89655172413793,27.413793103448278,15.96551724137931,36.172413793103445,11.931034482758621,15.379310344827585,10.137931034482758,17.689655172413794,3.2758620689655173,10.379310344827585,11.275862068965518,25.586206896551722,9.275862068965518,0.0,15.206896551724139,North,37.48275862068965
stanford_cardinal,28,3,2287,31,73.7741935483871,56.87096774193548,41.25806451612903,20.483870967741936,20.419354838709676,7.225806451612903,16.35483870967742,11.129032258064516,15.129032258064516,5.967741935483871,8.612903225806452,13.0,28.161290322580644,13.35483870967742,0.0,15.96774193548387,West,36.45161290322581
baylor_bears,27,6,2541,33,77.0,60.484848484848484,41.96969696969697,21.393939393939394,19.12121212121212,6.696969696969697,19.333333333333332,14.121212121212121,17.606060606060606,3.9393939393939394,6.696969696969697,12.606060606060606,28.151515151515152,11.181818181818182,0.3333333333333333,14.696969696969697,West,35.25757575757576
stephen_f_austin_ladyjacks,25,4,2160,29,74.48275862068965,55.3448275862069,38.62068965517241,19.82758620689655,21.310344827586206,7.0,19.724137931034484,13.827586206896552,16.103448275862068,4.275862068965517,12.275862068965518,15.931034482758621,24.24137931034483,11.482758620689655,0.27586206896551724,17.06896551724138,North,34.56896551724138
byu_cougars,24,3,2138,27,79.18518518518519,58.44444444444444,43.0,23.296296296296298,22.14814814814815,7.333333333333333,14.11111111111111,10.592592592592593,20.62962962962963,4.7407407407407405,9.851851851851851,12.481481481481481,26.88888888888889,13.37037037037037,0.07407407407407407,15.814814814814815,West,34.370370370370374
texas_longhorns,26,6,2324,32,72.625,56.65625,48.40625,22.0,13.53125,4.84375,20.15625,14.09375,12.71875,3.59375,10.03125,14.375,22.96875,14.28125,0.03125,18.53125,West,33.984375
louisville_cardinals,25,4,2093,29,72.17241379310344,55.03448275862069,45.172413793103445,22.20689655172414,16.79310344827586,6.137931034482759,12.96551724137931,9.344827586206897,15.862068965517242,4.413793103448276,9.586206896551724,14.448275862068966,25.93103448275862,13.03448275862069,0.41379310344827586,15.931034482758621,South,33.56896551724138
south_dakota_coyotes,25,5,2094,30,69.8,53.06666666666667,40.666666666666664,20.133333333333333,19.2,6.333333333333333,14.0,10.533333333333333,14.233333333333333,3.3666666666666667,9.0,10.466666666666667,24.266666666666666,9.866666666666667,0.06666666666666667,15.2,West,33.36666666666666
gonzaga_bulldogs,26,6,2218,32,69.3125,55.75,38.84375,18.3125,18.71875,6.625,16.59375,12.8125,14.75,4.0,7.84375,14.84375,26.46875,14.15625,0.125,15.5,West,32.78125
iowa_state_cyclones,26,6,2460,32,76.875,63.75,34.03125,16.15625,26.71875,10.40625,16.15625,13.34375,14.28125,3.71875,5.375,12.78125,29.28125,10.4375,0.03125,12.75,South,32.5625
toledo_rockets,26,4,2171,30,72.36666666666666,60.1,38.7,19.466666666666665,21.366666666666667,6.733333333333333,17.866666666666667,13.233333333333333,14.3,3.2,6.233333333333333,12.733333333333333,29.5,11.8,0.06666666666666667,15.866666666666667,South,32.133333333333326
unlv_lady_rebels,26,6,2418,32,75.5625,64.46875,42.59375,21.0,18.25,6.53125,18.875,13.96875,15.15625,2.03125,6.96875,14.125,28.4375,11.8125,0.28125,13.96875,West,31.546875
iu_indianapolis_jaguars,24,4,1972,28,70.42857142857143,55.67857142857143,34.714285714285715,17.964285714285715,21.75,7.964285714285714,14.25,10.607142857142858,14.964285714285714,2.9285714285714284,5.642857142857143,15.714285714285714,28.142857142857142,10.75,0.0,12.464285714285714,South,31.375
nebraska_cornhuskers,24,8,2513,32,78.53125,64.1875,39.9375,20.09375,23.71875,8.4375,18.0625,13.03125,17.625,3.84375,7.375,14.125,28.9375,13.15625,0.125,16.5,West,31.171875
south_dakota_state_jackrabbits,23,9,2372,32,74.125,58.0625,37.6875,19.78125,20.75,8.125,13.8125,10.1875,17.25,4.1875,6.875,12.6875,26.84375,10.0625,0.0,13.78125,West,31.03125
ucf_knights,24,3,1638,27,60.666666666666664,47.48148148148148,44.44444444444444,19.25925925925926,11.296296296296296,3.5555555555555554,16.11111111111111,11.481481481481481,13.592592592592593,3.4444444444444446,11.25925925925926,15.703703703703704,23.666666666666668,13.74074074074074,0.037037037037037035,13.666666666666666,North,30.59259259259259
iowa_hawkeyes,23,7,2535,30,84.5,70.83333333333333,40.53333333333333,23.666666666666668,20.9,7.333333333333333,18.033333333333335,15.166666666666666,19.466666666666665,3.2,7.0,14.866666666666667,29.666666666666668,8.733333333333333,0.1,15.633333333333333,South,29.833333333333336
missouri_state_lady_bears,24,7,2021,31,65.19354838709677,53.70967741935484,46.774193548387096,19.032258064516128,16.032258064516128,4.225806451612903,19.580645161290324,14.451612903225806,12.806451612903226,5.032258064516129,9.290322580645162,13.096774193548388,26.06451612903226,15.774193548387096,0.03225806451612903,17.838709677419356,South,29.741935483870964
ohio_state_buckeyes,23,6,2296,29,79.17241379310344,65.93103448275862,40.89655172413793,20.620689655172413,22.275862068965516,8.413793103448276,17.344827586206897,12.689655172413794,16.75862068965517,3.4482758620689653,8.862068965517242,13.413793103448276,26.620689655172413,9.689655172413794,0.13793103448275862,16.379310344827587,South,29.620689655172413
troy_trojans,24,7,2458,31,79.29032258064517,68.12903225806451,53.87096774193548,23.0,19.806451612903224,5.32258064516129,23.548387096774192,17.322580645161292,14.870967741935484,4.870967741935484,10.741935483870968,16.870967741935484,32.096774193548384,18.93548387096774,0.3225806451612903,19.096774193548388,North,29.580645161290327
lsu_tigers,23,5,2068,28,73.85714285714286,60.714285714285715,53.82142857142857,25.25,10.178571428571429,3.4285714285714284,19.642857142857142,13.071428571428571,14.178571428571429,4.107142857142857,8.25,13.678571428571429,30.0,13.535714285714286,0.10714285714285714,14.5,North,29.571428571428573
virginia_tech_hokies,23,9,2256,32,70.5,57.625,32.6875,16.3125,23.65625,8.59375,15.9375,12.09375,14.28125,3.5,4.46875,12.875,27.375,9.03125,0.03125,14.3125,South,29.4375
jackson_state_lady_tigers,21,6,2156,27,79.85185185185185,63.03703703703704,51.51851851851852,25.0,13.962962962962964,4.296296296296297,24.51851851851852,16.962962962962962,14.518518518518519,5.0,8.814814814814815,15.814814814814815,30.814814814814813,16.25925925925926,0.1111111111111111,16.14814814814815,North,29.407407407407405
belmont_bruins,22,7,2015,29,69.48275862068965,55.51724137931034,32.6551724137931,17.06896551724138,25.724137931034484,8.448275862068966,14.413793103448276,10.0,15.482758620689655,4.379310344827586,8.931034482758621,12.827586206896552,24.03448275862069,11.03448275862069,0.0,14.689655172413794,North,28.982758620689655
middle_tennessee_blue_raiders,23,7,2041,30,68.03333333333333,56.96666666666667,30.6,14.433333333333334,29.7,9.8,13.066666666666666,9.766666666666667,12.666666666666666,3.8,8.966666666666667,13.033333333333333,25.166666666666668,10.733333333333333,0.03333333333333333,18.233333333333334,North,28.53333333333333
tennessee_lady_volunteers,23,8,2168,31,69.93548387096774,60.193548387096776,49.12903225806452,22.032258064516128,14.451612903225806,4.387096774193548,19.838709677419356,12.709677419354838,14.64516129032258,5.967741935483871,6.290322580645161,17.193548387096776,31.612903225806452,16.322580645161292,0.06451612903225806,15.516129032258064,North,27.870967741935484
dayton_flyers,22,4,1711,26,65.8076923076923,54.11538461538461,42.69230769230769,18.384615384615383,17.0,5.8076923076923075,17.153846153846153,11.615384615384615,13.192307692307692,4.076923076923077,6.076923076923077,12.692307692307692,29.53846153846154,12.653846153846153,0.15384615384615385,15.5,South,27.846153846153847
michigan_wolverines,22,5,1978,27,73.25925925925925,61.592592592592595,43.592592592592595,22.0,14.74074074074074,4.703703703703703,20.14814814814815,15.148148148148149,13.814814814814815,2.5555555555555554,6.777777777777778,15.851851851851851,27.037037037037038,12.851851851851851,0.1111111111111111,16.037037037037038,South,27.83333333333333
south_florida_bulls,24,7,1889,31,60.935483870967744,53.516129032258064,39.516129032258064,16.677419354838708,18.193548387096776,5.32258064516129,16.06451612903226,11.612903225806452,14.387096774193548,3.5161290322580645,6.709677419354839,14.580645161290322,26.322580645161292,14.419354838709678,0.1935483870967742,15.129032258064516,North,27.70967741935484
oklahoma_sooners,24,8,2666,32,83.3125,76.03125,39.15625,19.6875,26.9375,9.4375,20.46875,15.625,19.09375,3.0,9.75,18.8125,29.125,11.8125,0.0625,19.21875,West,27.640625
youngstown_state_penguins,23,6,1902,29,65.58620689655173,56.86206896551724,29.896551724137932,14.379310344827585,26.517241379310345,8.379310344827585,16.275862068965516,11.689655172413794,14.827586206896552,2.3448275862068964,6.586206896551724,14.379310344827585,26.586206896551722,10.413793103448276,0.06896551724137931,14.96551724137931,South,27.362068965517246
notre_dame_fighting_irish,22,8,2191,30,73.03333333333333,62.666666666666664,45.93333333333333,22.733333333333334,17.533333333333335,5.6,15.1,10.766666666666667,17.066666666666666,5.333333333333333,8.833333333333334,15.133333333333333,28.233333333333334,12.3,0.03333333333333333,13.066666666666666,South,27.183333333333334
depaul_blue_demons,22,10,2825,32,88.28125,78.28125,50.375,25.40625,25.0625,8.65625,15.0625,11.5,18.59375,3.5625,9.9375,13.84375,25.15625,15.25,0.0,15.09375,South,27.0
indiana_hoosiers,22,8,2154,30,71.8,61.9,44.1,21.566666666666666,15.0,4.966666666666667,18.366666666666667,13.766666666666667,14.166666666666666,3.4,6.633333333333334,13.066666666666666,26.866666666666667,9.433333333333334,0.03333333333333333,15.466666666666667,South,26.95
murray_state_racers,21,9,2204,30,73.46666666666667,62.1,39.86666666666667,20.8,15.2,5.366666666666666,19.7,15.766666666666667,15.433333333333334,2.3,5.133333333333334,14.666666666666666,29.366666666666667,10.633333333333333,0.0,11.333333333333334,South,26.683333333333334
ole_miss_rebels,21,8,1955,29,67.41379310344827,56.275862068965516,49.86206896551724,22.586206896551722,11.482758620689655,3.103448275862069,19.17241379310345,12.931034482758621,14.413793103448276,4.413793103448276,9.448275862068966,14.413793103448276,24.82758620689655,14.241379310344827,0.3103448275862069,17.20689655172414,North,26.568965517241377
jacksonville_state_gamecocks,22,7,1954,29,67.37931034482759,58.275862068965516,41.241379310344826,18.344827586206897,21.24137931034483,6.344827586206897,16.82758620689655,11.655172413793103,10.482758620689655,1.0,6.896551724137931,11.89655172413793,26.275862068965516,12.655172413793103,0.034482758620689655,15.89655172413793,North,26.551724137931036
kansas_city_roos,23,8,2233,31,72.03225806451613,65.35483870967742,39.74193548387097,18.70967741935484,20.548387096774192,7.290322580645161,16.516129032258064,12.741935483870968,14.709677419354838,2.6774193548387095,6.580645161290323,14.451612903225806,26.35483870967742,12.0,0.0,15.903225806451612,South,26.338709677419352
colorado_buffaloes,22,8,1961,30,65.36666666666666,56.833333333333336,38.46666666666667,17.933333333333334,19.133333333333333,5.8,17.733333333333334,12.1,14.033333333333333,3.6,10.766666666666667,14.333333333333334,24.233333333333334,12.133333333333333,0.1,17.3,West,26.266666666666662
new_mexico_lobos,22,8,2291,30,76.36666666666666,68.63333333333334,35.333333333333336,18.9,26.933333333333334,9.333333333333334,14.0,10.566666666666666,16.233333333333334,4.3,8.166666666666666,13.6,28.1,8.766666666666667,0.16666666666666666,13.066666666666666,West,25.86666666666666
creighton_bluejays,20,9,2170,29,74.82758620689656,63.44827586206897,33.172413793103445,17.689655172413794,27.896551724137932,10.275862068965518,11.862068965517242,8.620689655172415,20.896551724137932,2.8620689655172415,7.517241379310345,12.793103448275861,25.24137931034483,10.655172413793103,0.034482758620689655,15.724137931034482,West,25.689655172413794
georgia_tech_yellow_jackets,21,10,1892,31,61.03225806451613,51.87096774193548,39.096774193548384,17.516129032258064,17.70967741935484,5.516129032258065,14.290322580645162,9.451612903225806,15.32258064516129,4.354838709677419,5.935483870967742,13.96774193548387,27.64516129032258,11.290322580645162,0.06451612903225806,13.32258064516129,North,25.580645161290324
california_baptist_lancers,22,8,2289,30,76.3,69.4,35.166666666666664,19.433333333333334,28.766666666666666,8.966666666666667,15.4,10.533333333333333,19.233333333333334,4.366666666666666,9.566666666666666,14.766666666666667,30.5,8.1,0.16666666666666666,17.9,West,25.449999999999996
charlotte_49ers,22,9,1972,31,63.61290322580645,58.12903225806452,40.064516129032256,17.516129032258064,17.322580645161292,5.032258064516129,18.580645161290324,13.483870967741936,11.709677419354838,4.709677419354839,6.67741935483871,14.774193548387096,27.06451612903226,10.96774193548387,0.03225806451612903,15.32258064516129,North,24.741935483870964
louisiana_tech_lady_techsters,21,11,2162,32,67.5625,60.125,44.5625,20.71875,12.21875,3.875,19.0625,14.5,11.6875,2.8125,8.375,14.1875,24.84375,10.15625,0.0625,14.84375,North,24.71875
arizona_wildcats,19,7,1781,26,68.5,57.38461538461539,39.53846153846154,18.96153846153846,18.576923076923077,6.423076923076923,15.961538461538462,11.307692307692308,14.384615384615385,4.0,10.5,12.961538461538462,22.153846153846153,10.615384615384615,0.11538461538461539,17.115384615384617,West,24.557692307692307
colorado_state_rams,21,11,2214,32,69.1875,62.71875,38.78125,17.78125,21.65625,7.5625,14.125,10.9375,14.3125,3.125,4.6875,9.5625,30.71875,7.0625,0.03125,11.65625,West,24.234375
